organization_id,organization_name,religion,organization_category,url_source
1,Al-Irsyad Al-Islamiyyah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
2,Al Ittihadiyah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
3,Alkhairaat,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
4,Al Washliyah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
5,Darud Da'wah wal Irsyad (DDI),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
6,Dewan Dakwah Islamiyah Indonesia (DDII),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
7,Hidayatullah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
8,Jamiat Kheir,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
9,Mathla'ul Anwar,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
10,Muhammadiyah (MU),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
11,Nahdlatul Ulama (NU),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
12,Nahdlatul Wathan (NW),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
13,Persatuan Islam (Persis),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
14,Persatuan Tarbiyah Islamiyah (PERTI),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
15,Persatuan Umat Islam (PUI),Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
16,Rabithah Alawiyah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
17,Wahdah Islamiyah,Islam,Sunni,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
18,Ahlulbait Indonesia (ABI),Islam,Syiah,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
19,Ikatan Jamaah Ahlulbait Indonesia (Ijabi),Islam,Syiah,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
20,Dewan Masjid Indonesia (DMI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
21,Forum Umat Islam (FUI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
22,Ikatan Cendekiawan Muslim Indonesia (ICMI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
23,Ikatan Da'i Indonesia (Ikadi),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
24,Lembaga Persahabatan Ormas Islam Indonesia (LPOI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
25,Lembaga Dakwah Islam Indonesia (LDII),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
26,Majelis Intelektual dan Ulama Muda Indonesia (MIUMI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
27,Majelis Tafsir Al-Qur'an (MTA),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
28,Majelis Ulama Indonesia (MUI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
29,Persatuan Islam Tionghoa Indonesia (PITI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
30,Syarikat Islam (SI),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
31,Syarikat Islam Indonesia (SII),Islam,Lain-lain/nonafiliasi,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
32,Front Pembela Islam (FPI),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
33,Gerakan Fajar Nusantara (Gafatar),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
34,Hizbut Tahrir Indonesia (HTI),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
35,Jamaah Ansharut Daulah (JAD),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
36,Jamaah Ansharusy Syariah (JAS),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
37,Jamaah Ansharut Tauhid (JAT),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
38,Jemaah Islamiyah (JI),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
39,Majelis Mujahidin Indonesia (MMI),Islam,Dibubarkan/dilarang,https://id.wikipedia.org/wiki/Daftar_organisasi_massa_Islam_di_Indonesia
